 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
   142       0.901354       4.863262       1.997136      -1.239775       1.072620       0.173698      -2.230588       0.785866      -0.413360
   143       0.801035       3.813594       3.118092      -1.321245      -1.836402      -1.273967       4.536339       5.231593       2.067186
   144      -0.105648       4.815102       3.194258       0.941639       1.170494       1.293265       1.474278      -1.893616      -2.392687
   145       2.119917       3.823131       2.192277      -0.599174      -1.559801       0.026852       0.099377      -1.613933       1.332826
   146       2.961893       5.107253       1.877794       0.288779      -1.349052      -0.041176       4.370380       0.663284       1.257274
   147       2.847992       4.199217       3.050345       1.535967       1.911939       1.831751      -2.200281      -0.558571       2.285830
   148       1.847460       5.080708       3.182347       0.471597       1.918001      -1.095842       0.811408       0.276924       0.492857
   149       4.043607       4.198178       1.889879       1.502771      -0.631979       1.349371      -0.222636       0.791635       0.458395
   150       4.848970       5.027176       2.137031       1.317784       0.573304       0.882945       2.825877      -0.641174      -5.232649
   151       5.043263       3.958798       3.069236      -1.143874      -0.623443      -1.890145       0.577003      -1.065694       1.172891
   152       4.102258       5.183064       2.883228       1.850664       1.320435       0.613842     -10.694934      -3.373044       3.008175
   153       6.079986       4.051387       1.805899      -0.559200       1.300626       0.019851      -0.616509       1.285069       0.563604
   154       7.177940       5.173822       2.047456       1.134939      -1.857007       0.982177       0.063146       1.269031       0.850288
   155       7.165786       3.960966       3.135497       0.206447      -0.307696      -0.190414      -0.013150       0.067615       1.909342
   156       6.186924       4.930208       2.880985       0.474928       1.945421      -0.722372       2.430615       0.419797      -0.128615
   157       8.025051       4.106832       1.964430       1.394659       1.643484       0.652862       0.222010      -0.604013       0.215511
   158       8.987926       5.095226       2.110104      -1.812925      -0.787040      -0.182766       0.985276      -1.519194       0.371824
   159       8.870084       4.060573       2.852644       0.457427      -1.290932      -1.417114       0.607633       1.328637       0.550632
   160       7.851845       4.918289       3.180034       2.018735      -0.397044      -1.716854       0.216864      -1.978817      -0.099470
   161       0.117150       5.949648       1.807694      -1.277075      -0.458705       0.089868       1.101049      -1.716310       0.089043
   162       1.140152       6.920530       1.967646      -0.297125       0.840058      -1.987315       1.346196      -0.473332       1.804653
   163       0.828472       5.958951       2.887634      -0.923154       1.871689       0.576734      -0.895057      -0.006152      -0.311825
   164      -0.194647       6.831685       3.026268       1.663705       0.506524       1.319441       2.224366       3.559863      -0.982366
   165       2.052743       5.941159       2.034788       0.675945       2.055649      -0.916555       1.362201      -0.275669      -1.157630
   166       2.862418       6.952234       2.170604       1.634703      -0.699950      -0.074865       0.932139      -0.634853       2.763958
   167       3.112263       6.183035       3.145533       0.558511       0.835115      -1.390496       1.878905       2.139607      -1.034285
   168       1.838034       7.130681       3.047142       1.442416      -0.243760       0.114525      -0.301255       0.828159      -0.965116
   169       3.819880       5.893614       1.951104       0.150047       1.477998       1.232810       5.288374      -2.261062       7.012601
   170       5.129084       6.981728       2.015419       0.518760      -0.947982       1.132118       2.077059       0.171215      -0.673338
   171       4.854756       5.921035       2.963753      -0.472977      -0.267723      -1.451740       5.066047       5.318669       0.792617
   172       3.800546       7.146255       2.947554       0.467927      -1.330173      -1.230327       0.101736      -0.966685      -0.044571
   173       6.194713       6.024626       2.126179      -1.703741       0.313964      -1.566773       1.687279       1.220385       0.500673
   174       7.073079       7.034689       1.959605       0.286664      -0.783709      -0.155346       1.655701      -1.613989       0.111229
   175       6.968722       6.042016       3.161299       0.830897      -1.399043       0.858348      -0.704206      -0.858610       0.263755
   176       5.926396       7.057245       2.848084       1.322227       0.594001       1.044557       1.118048       1.104566      -0.037250
   177       8.090224       6.176470       1.909468       1.778969       1.142596      -0.577620       1.289028     -13.959820      12.198802
   178       8.923560       7.070118       2.102871       0.175906       1.008130       0.416960      -1.491079       0.799240       0.547502
   179       9.125278       5.996115       3.185895       0.867905       1.153815      -1.182597      -0.818330      -3.697336       1.576194
   180       7.807148       7.193897       3.172976       1.733721      -0.925539      -0.105247       0.155244      -3.888114      -3.440792
   181      -0.027068       8.003846       2.032772       1.828207       0.926049       1.262830      -0.842263       0.940896       1.643951
   182       1.014555       8.970664       2.072081      -1.719902       0.488826      -1.513762       0.803551       1.150229       0.454867
   183       0.857546       7.810727       2.979861      -1.521429       0.116401      -0.978331       0.728488      -1.340163      -0.969560
   184      -0.091608       9.005173       2.904151      -0.127001      -0.917885       0.201615      -1.500691      -0.399346       0.093603
   185       1.880380       8.135793       2.073567       0.257947       1.579082      -0.762896      -0.663727       0.905420       1.031401
   186       3.021973       8.967916       1.827811       0.545378      -1.524301       1.285402      -3.638863       0.595676       2.529213
   187       3.121864       8.023765       2.907719       1.358401       1.159399       0.484963      -1.992790       1.607154       1.690199
   188       1.943956       9.135187       3.008751       1.610870      -0.514288       1.103386      -0.453043       0.895978      -2.678508
   189       3.842486       8.050910       2.088263       1.415692       0.764141       0.415569       1.331874       1.983521      -2.330958
   190       5.149198       9.029882       1.874174      -1.741811      -1.979486      -1.992042       0.201651      -2.573987       2.796288
   191       4.890008       8.183986       2.844766      -1.718871       0.343024      -0.883337       1.111404      -1.678774      -0.481043
   192       4.017787       8.867905       2.930539       0.672009      -0.754038       0.960798      -2.719856      -0.192395       0.039289
   193       5.879225       8.032929       2.168449       1.698488       1.414982       1.309975      -1.570820       0.565570       2.077112
   194       6.939325       9.158480       2.029435      -1.697003       0.887941       1.254721       1.641685       2.956027      -0.956391
   195       6.926220       7.866459       3.068751       1.797936      -1.339017      -1.517999      -2.319149       0.620825       1.301344
   196       6.165512       8.988373       2.861366      -0.076710      -1.268393       1.850865      -0.059520      -1.693966      -1.588164
   197       8.060384       7.874368       2.107852       1.113049      -1.854823      -1.437386       0.587768      -0.791890       1.566986
   198       8.836697       8.977266       2.119723      -1.450759       1.754620      -1.109129      -1.020479      -1.385476       1.767123
   199       9.082969       7.988946       2.959080      -0.396349      -0.473404      -0.366247       0.576809       0.592103      -1.587977
   200       7.814985       8.946649       2.840125      -1.419152       1.197302       1.474149      -0.532700      -0.519405      -1.880894
   201      -0.007144       0.024617       3.842278      -1.100470      -0.773244       0.752548       0.878287       0.365408       0.739600
   202       0.840535       0.949912       4.175739      -1.291301       1.148224      -0.226484       6.551351       0.546382      -7.488066
   203       1.177931      -0.186080       4.867042       0.515460      -0.361623       0.921448       1.201947       6.207302       8.867760
   204       0.108054       0.833600       4.906550       1.425594      -0.144816      -1.429045      -7.356878      -2.548879       7.261642
   205       1.967426       0.047496       4.115913      -1.837620       1.254638       0.421153       1.458197       0.981916      -0.223480
   206       2.871022       1.166690       3.815464      -0.074251       2.019417      -1.580791      -0.155226      -2.560489       3.640625
   207       3.125783       0.053540       4.891830      -0.510238      -0.069491      -1.045245       0.304121      -0.791735      -0.550711
   208       2.073278       1.002549       4.989757      -0.175253      -0.775946      -1.507514      -0.606014       0.424375       1.158589
   209       4.081319       0.065391       4.141709       1.220208       1.217540       1.536598      -1.892809      -1.947101       2.929057
   210       4.804231       0.867875       3.892167      -1.602009       1.686951       1.418568       1.140603       1.376681      -1.983694
   211       4.952608      -0.134695       4.965887      -1.564634       0.101525      -1.682098      -0.933295       0.180453      -0.621088
   212       3.860395       0.905725       5.051929       1.996161       0.610980       0.141354       2.429094      -0.798715      -2.406138
   213       5.862008       0.078724       3.950546       1.082368      -1.415289       0.185952      -1.989246       0.883368      -0.483461
   214       6.997729       1.198822       3.972910       0.668033       0.067040      -1.863234      -0.061920       2.097846      -1.228839
   215       6.935583      -0.193156       5.182539       0.351130      -0.776047       1.136543      -0.245445      -3.877092       0.922545
   216       5.834574       1.034148       5.187509       0.849647       1.488354       1.086502      -0.118929       2.353289       1.034896
   217       7.838404      -0.182423       4.047237      -0.217556       0.549278      -0.063881      -1.849499      -1.670777      -0.125696
   218       8.954849       1.147110       3.854483      -0.774210      -0.942936       1.724856       1.192405       2.964373       0.429857
   219       9.087517      -0.072449       4.858730       1.028811       0.961172      -1.266779       2.406918      -0.604785       0.341995
   220       8.181883       1.134810       5.097983       0.868167       0.260886      -1.168761     -38.201663     -40.399761      13.602511
   221       0.113730       1.899207       4.063374       0.802929      -0.027839       1.398546      -0.052489      -2.458874      -0.574142
   222       1.069313       3.109232       4.060690      -1.756558      -0.600033      -0.457215       1.135713       1.133353      -1.353273
   223       1.170967       1.960582       5.064957       0.331606       1.101594      -2.057537      -4.596734      -0.988126      -4.506769
   224       0.081339       3.036874       5.179182       1.683286       0.600562      -1.242717       1.682836       0.134679       2.046642
   225       2.177060       2.108205       3.806303       0.748546       1.103651       1.940511       2.205401      -5.359554       4.322516
   226       3.136980       3.126168       3.948066       1.840747      -1.190904      -0.554681      -1.162075       0.380386       0.009421
   227       3.102240       1.953768       5.006661      -0.424543      -1.699551       0.308686      -0.404147      -0.699494      -0.156925
   228       2.159826       2.869421       4.969892      -1.341542       0.300272       0.680080       0.397633      -0.827453      -0.298013
   229       3.978437       1.853400       4.001931      -1.394334       0.626371       0.649100      -0.924012      -1.084921       0.295214
   230       5.096574       2.951163       4.045035      -1.935512       0.637607      -1.107438       0.705536       1.890337       0.564670
   231       5.080963       2.101426       4.813767       1.921529      -1.977814      -1.533384       1.441549       0.963719       0.392888
   232       4.069207       3.160855       4.819640       0.614447      -1.891116      -0.865875      -0.291150      -0.248788      -1.547233
